Timestamp,base_PosX,base_PosY,base_PosZ,base_RotX,base_RotY,base_RotZ,base_RotW,base_jointAngle,shoulder_PosX,shoulder_PosY,shoulder_PosZ,shoulder_RotX,shoulder_RotY,shoulder_RotZ,shoulder_RotW,shoulder_jointAngle,elbow_PosX,elbow_PosY,elbow_PosZ,elbow_RotX,elbow_RotY,elbow_RotZ,elbow_RotW,elbow_jointAngle,wrist1_PosX,wrist1_PosY,wrist1_PosZ,wrist1_RotX,wrist1_RotY,wrist1_RotZ,wrist1_RotW,wrist1_jointAngle,wrist2_PosX,wrist2_PosY,wrist2_PosZ,wrist2_RotX,wrist2_RotY,wrist2_RotZ,wrist2_RotW,wrist2_jointAngle,wrist3_PosX,wrist3_PosY,wrist3_PosZ,wrist3_RotX,wrist3_RotY,wrist3_RotZ,wrist3_RotW,wrist3_jointAngle,ee_PosX,ee_PosY,ee_PosZ,ee_RotX,ee_RotY,ee_RotZ,ee_RotW,suctionOn,blockAttracted
1.17,0.275,0.958,0.12,0,0.704,0,-0.71,179.569,0.274,0.958,-0.016,-0.268,0.652,-0.266,-0.657,-45.655,-0.022,1.262,0.106,-0.55,0.445,-0.546,-0.448,57.303,-0.406,1.183,0.109,-0.566,0.425,-0.561,-0.429,-85.944,-0.407,1.183,0.016,-0.003,-0.002,-0.797,-0.604,-89.954,-0.498,1.157,0.017,-0.003,-0.002,-0.797,-0.604,0,-0.476,1.078,0.016,-0.004,0.001,-0.991,0.137,FALSE,FALSE
1.273,0.275,0.958,0.12,0,0.706,0,-0.708,179.828,0.275,0.958,-0.016,-0.267,0.654,-0.266,-0.656,-45.656,-0.022,1.262,0.105,-0.549,0.446,-0.547,-0.447,57.303,-0.406,1.183,0.106,-0.564,0.426,-0.563,-0.428,-85.944,-0.407,1.183,0.013,-0.002,-0.001,-0.797,-0.604,-89.954,-0.498,1.157,0.013,-0.002,-0.001,-0.797,-0.604,0,-0.475,1.078,0.013,-0.002,0.001,-0.991,0.137,FALSE,FALSE
1.375,0.275,0.958,0.12,0,0.707,0,-0.708,179.923,0.275,0.958,-0.016,-0.267,0.654,-0.267,-0.655,-45.656,-0.022,1.262,0.104,-0.549,0.446,-0.548,-0.447,57.303,-0.406,1.183,0.105,-0.564,0.427,-0.563,-0.427,-85.944,-0.406,1.183,0.012,-0.001,0,-0.797,-0.604,-89.954,-0.498,1.157,0.012,-0.001,0,-0.797,-0.604,0,-0.475,1.078,0.012,-0.001,0,-0.991,0.137,FALSE,FALSE
1.481,0.275,0.958,0.12,0,0.707,0,-0.707,179.961,0.275,0.958,-0.016,-0.267,0.655,-0.267,-0.655,-45.656,-0.022,1.262,0.104,-0.548,0.447,-0.548,-0.447,57.303,-0.406,1.183,0.104,-0.564,0.427,-0.563,-0.427,-85.944,-0.406,1.183,0.011,-0.001,0,-0.797,-0.604,-89.954,-0.497,1.157,0.011,-0.001,0,-0.797,-0.604,0,-0.475,1.078,0.011,0,0,-0.991,0.137,FALSE,FALSE
1.582,0.275,0.958,0.12,0,0.707,0,-0.707,179.971,0.275,0.958,-0.016,-0.267,0.655,-0.267,-0.655,-45.656,-0.022,1.262,0.104,-0.548,0.447,-0.548,-0.447,57.303,-0.406,1.183,0.104,-0.564,0.427,-0.563,-0.427,-85.944,-0.406,1.183,0.011,-0.001,0,-0.797,-0.604,-89.954,-0.497,1.157,0.011,-0.001,0,-0.797,-0.604,0,-0.475,1.078,0.011,0,0,-0.991,0.137,FALSE,FALSE
1.689,0.275,0.958,0.12,0,0.707,0,-0.707,179.975,0.275,0.958,-0.016,-0.267,0.655,-0.267,-0.655,-45.656,-0.022,1.262,0.104,-0.548,0.447,-0.548,-0.447,57.303,-0.406,1.183,0.104,-0.564,0.427,-0.563,-0.427,-85.944,-0.406,1.183,0.011,0,0,-0.797,-0.604,-89.954,-0.497,1.157,0.011,0,0,-0.797,-0.604,0,-0.475,1.078,0.011,0,0,-0.991,0.137,FALSE,FALSE
1.79,0.275,0.958,0.12,0,0.707,0,-0.707,179.976,0.275,0.958,-0.016,-0.267,0.655,-0.267,-0.655,-45.656,-0.022,1.262,0.104,-0.548,0.447,-0.548,-0.447,57.303,-0.406,1.183,0.104,-0.564,0.427,-0.564,-0.427,-85.944,-0.406,1.183,0.011,0,0,-0.797,-0.604,-89.954,-0.497,1.157,0.011,0,0,-0.797,-0.604,0,-0.475,1.078,0.011,0,0,-0.991,0.137,FALSE,FALSE
1.893,0.275,0.958,0.12,0,0.707,0,-0.707,179.976,0.275,0.958,-0.016,-0.267,0.655,-0.267,-0.655,-45.656,-0.022,1.262,0.104,-0.548,0.447,-0.548,-0.447,57.303,-0.406,1.183,0.104,-0.564,0.427,-0.564,-0.427,-85.944,-0.406,1.183,0.011,0,0,-0.797,-0.604,-89.954,-0.497,1.157,0.011,0,0,-0.797,-0.604,0,-0.475,1.078,0.011,0,0,-0.991,0.137,FALSE,FALSE
2,0.275,0.958,0.12,0,0.707,0,-0.707,179.977,0.275,0.958,-0.016,-0.267,0.655,-0.267,-0.655,-45.656,-0.022,1.262,0.104,-0.548,0.447,-0.548,-0.447,57.303,-0.406,1.183,0.104,-0.564,0.427,-0.564,-0.427,-85.944,-0.406,1.183,0.011,0,0,-0.797,-0.604,-89.954,-0.497,1.157,0.011,0,0,-0.797,-0.604,0,-0.475,1.078,0.011,0,0,-0.991,0.137,FALSE,FALSE
2.102,0.275,0.958,0.12,0,0.707,0,-0.707,179.977,0.275,0.958,-0.016,-0.267,0.655,-0.267,-0.655,-45.656,-0.022,1.262,0.104,-0.548,0.447,-0.548,-0.447,57.303,-0.406,1.183,0.104,-0.564,0.427,-0.564,-0.427,-85.944,-0.406,1.183,0.011,0,0,-0.797,-0.604,-89.954,-0.497,1.157,0.011,0,0,-0.797,-0.604,0,-0.475,1.078,0.011,0,0,-0.991,0.137,FALSE,FALSE
2.208,0.275,0.958,0.12,0,0.707,0,-0.707,179.977,0.275,0.958,-0.016,-0.267,0.655,-0.267,-0.655,-45.656,-0.022,1.262,0.104,-0.548,0.447,-0.548,-0.447,57.303,-0.406,1.183,0.104,-0.564,0.427,-0.564,-0.427,-85.944,-0.406,1.183,0.011,0,0,-0.797,-0.604,-89.954,-0.497,1.157,0.011,0,0,-0.797,-0.604,0,-0.475,1.078,0.011,0,0,-0.991,0.137,FALSE,FALSE
2.314,0.275,0.958,0.12,0,0.707,0,-0.707,179.977,0.275,0.958,-0.016,-0.267,0.655,-0.267,-0.655,-45.656,-0.022,1.262,0.104,-0.548,0.447,-0.548,-0.447,57.303,-0.406,1.183,0.104,-0.564,0.427,-0.564,-0.427,-85.944,-0.406,1.183,0.011,0,0,-0.797,-0.604,-89.954,-0.497,1.157,0.011,0,0,-0.797,-0.604,0,-0.475,1.078,0.011,0,0,-0.991,0.137,FALSE,FALSE
2.416,0.275,0.958,0.12,0,0.707,0,-0.707,179.977,0.275,0.958,-0.016,-0.267,0.655,-0.267,-0.655,-45.656,-0.022,1.262,0.104,-0.548,0.447,-0.548,-0.447,57.303,-0.406,1.183,0.104,-0.564,0.427,-0.564,-0.427,-85.944,-0.406,1.183,0.011,0,0,-0.797,-0.604,-89.954,-0.497,1.157,0.011,0,0,-0.797,-0.604,0,-0.475,1.078,0.011,0,0,-0.991,0.137,FALSE,FALSE
2.521,0.275,0.958,0.12,0,0.707,0,-0.707,179.977,0.275,0.958,-0.016,-0.267,0.655,-0.267,-0.655,-45.656,-0.022,1.262,0.104,-0.548,0.447,-0.548,-0.447,57.303,-0.406,1.183,0.104,-0.564,0.427,-0.564,-0.427,-85.944,-0.406,1.183,0.011,0,0,-0.797,-0.604,-89.954,-0.497,1.157,0.011,0,0,-0.797,-0.604,0,-0.475,1.078,0.011,0,0,-0.991,0.137,FALSE,FALSE
2.627,0.275,0.958,0.12,0,0.707,0,-0.707,179.977,0.275,0.958,-0.016,-0.267,0.655,-0.267,-0.655,-45.656,-0.022,1.262,0.104,-0.548,0.447,-0.548,-0.447,57.303,-0.406,1.183,0.104,-0.564,0.427,-0.564,-0.427,-85.944,-0.406,1.183,0.011,0,0,-0.797,-0.604,-89.954,-0.497,1.157,0.011,0,0,-0.797,-0.604,0,-0.475,1.078,0.011,0,0,-0.991,0.137,FALSE,FALSE
2.73,0.275,0.958,0.12,0,0.707,0,-0.707,179.977,0.275,0.958,-0.016,-0.267,0.655,-0.267,-0.655,-45.656,-0.022,1.262,0.104,-0.548,0.447,-0.548,-0.447,57.303,-0.406,1.183,0.104,-0.564,0.427,-0.564,-0.427,-85.944,-0.406,1.183,0.011,0,0,-0.797,-0.604,-89.954,-0.497,1.157,0.011,0,0,-0.797,-0.604,0,-0.475,1.078,0.011,0,0,-0.991,0.137,FALSE,FALSE
2.832,0.275,0.958,0.12,0,0.707,0,-0.707,179.977,0.275,0.958,-0.016,-0.267,0.655,-0.267,-0.655,-45.656,-0.022,1.262,0.104,-0.548,0.447,-0.548,-0.447,57.303,-0.406,1.183,0.104,-0.564,0.427,-0.564,-0.427,-85.944,-0.406,1.183,0.011,0,0,-0.797,-0.604,-89.954,-0.497,1.157,0.011,0,0,-0.797,-0.604,0,-0.475,1.078,0.011,0,0,-0.991,0.137,FALSE,FALSE
2.935,0.275,0.958,0.12,0,0.707,0,-0.707,179.977,0.275,0.958,-0.016,-0.267,0.655,-0.267,-0.655,-45.656,-0.022,1.262,0.104,-0.548,0.447,-0.548,-0.447,57.303,-0.406,1.183,0.104,-0.564,0.427,-0.564,-0.427,-85.944,-0.406,1.183,0.011,0,0,-0.797,-0.604,-89.954,-0.497,1.157,0.011,0,0,-0.797,-0.604,0,-0.475,1.078,0.011,0,0,-0.991,0.137,FALSE,FALSE
3.038,0.275,0.958,0.12,0,0.707,0,-0.707,179.977,0.275,0.958,-0.016,-0.267,0.655,-0.267,-0.655,-45.656,-0.022,1.262,0.104,-0.548,0.447,-0.548,-0.447,57.303,-0.406,1.183,0.104,-0.564,0.427,-0.564,-0.427,-85.944,-0.406,1.183,0.011,0,0,-0.797,-0.604,-89.954,-0.497,1.157,0.011,0,0,-0.797,-0.604,0,-0.475,1.078,0.011,0,0,-0.991,0.137,FALSE,FALSE
3.142,0.275,0.958,0.12,0,0.707,0,-0.707,179.977,0.275,0.958,-0.016,-0.267,0.655,-0.267,-0.655,-45.656,-0.022,1.262,0.104,-0.548,0.447,-0.548,-0.447,57.303,-0.406,1.183,0.104,-0.564,0.427,-0.564,-0.427,-85.944,-0.406,1.183,0.011,0,0,-0.797,-0.604,-89.954,-0.497,1.157,0.011,0,0,-0.797,-0.604,0,-0.475,1.078,0.011,0,0,-0.991,0.137,FALSE,FALSE
3.243,0.275,0.958,0.12,0,0.707,0,-0.707,179.977,0.275,0.958,-0.016,-0.267,0.655,-0.267,-0.655,-45.656,-0.022,1.262,0.104,-0.548,0.447,-0.548,-0.447,57.303,-0.406,1.183,0.104,-0.564,0.427,-0.564,-0.427,-85.944,-0.406,1.183,0.011,0,0,-0.797,-0.604,-89.954,-0.497,1.157,0.011,0,0,-0.797,-0.604,0,-0.475,1.078,0.011,0,0,-0.991,0.137,FALSE,FALSE
3.346,0.275,0.958,0.12,0,0.707,0,-0.707,179.977,0.275,0.958,-0.016,-0.267,0.655,-0.267,-0.655,-45.656,-0.022,1.262,0.104,-0.548,0.447,-0.548,-0.447,57.303,-0.406,1.183,0.104,-0.564,0.427,-0.564,-0.427,-85.944,-0.406,1.183,0.011,0,0,-0.797,-0.604,-89.954,-0.497,1.157,0.011,0,0,-0.797,-0.604,0,-0.475,1.078,0.011,0,0,-0.991,0.137,FALSE,FALSE
3.451,0.275,0.958,0.12,0,0.707,0,-0.707,179.977,0.275,0.958,-0.016,-0.267,0.655,-0.267,-0.655,-45.656,-0.022,1.262,0.104,-0.548,0.447,-0.548,-0.447,57.303,-0.406,1.183,0.104,-0.564,0.427,-0.564,-0.427,-85.944,-0.406,1.183,0.011,0,0,-0.797,-0.604,-89.954,-0.497,1.157,0.011,0,0,-0.797,-0.604,0,-0.475,1.078,0.011,0,0,-0.991,0.137,FALSE,FALSE
3.555,0.275,0.958,0.12,0,0.707,0,-0.707,179.977,0.275,0.958,-0.016,-0.267,0.655,-0.267,-0.655,-45.656,-0.022,1.262,0.104,-0.548,0.447,-0.548,-0.447,57.303,-0.406,1.183,0.104,-0.564,0.427,-0.564,-0.427,-85.944,-0.406,1.183,0.011,0,0,-0.797,-0.604,-89.954,-0.497,1.157,0.011,0,0,-0.797,-0.604,0,-0.475,1.078,0.011,0,0,-0.991,0.137,FALSE,FALSE
3.659,0.275,0.958,0.12,0,0.707,0,-0.707,179.977,0.275,0.958,-0.016,-0.267,0.655,-0.267,-0.655,-45.656,-0.022,1.262,0.104,-0.548,0.447,-0.548,-0.447,57.303,-0.406,1.183,0.104,-0.564,0.427,-0.564,-0.427,-85.944,-0.406,1.183,0.011,0,0,-0.797,-0.604,-89.954,-0.497,1.157,0.011,0,0,-0.797,-0.604,0,-0.475,1.078,0.011,0,0,-0.991,0.137,FALSE,FALSE
3.759,0.275,0.958,0.12,0,0.707,0,-0.707,179.977,0.275,0.958,-0.016,-0.267,0.655,-0.267,-0.655,-45.656,-0.022,1.262,0.104,-0.548,0.447,-0.548,-0.447,57.303,-0.406,1.183,0.104,-0.564,0.427,-0.564,-0.427,-85.944,-0.406,1.183,0.011,0,0,-0.797,-0.604,-89.954,-0.497,1.157,0.011,0,0,-0.797,-0.604,0,-0.475,1.078,0.011,0,0,-0.991,0.137,FALSE,FALSE
3.862,0.275,0.958,0.12,0,0.707,0,-0.707,179.977,0.275,0.958,-0.016,-0.267,0.655,-0.267,-0.655,-45.656,-0.022,1.262,0.104,-0.548,0.447,-0.548,-0.447,57.303,-0.406,1.183,0.104,-0.564,0.427,-0.564,-0.427,-85.944,-0.406,1.183,0.011,0,0,-0.797,-0.604,-89.954,-0.497,1.157,0.011,0,0,-0.797,-0.604,0,-0.475,1.078,0.011,0,0,-0.991,0.137,FALSE,FALSE
3.968,0.275,0.958,0.12,0,0.707,0,-0.707,179.977,0.275,0.958,-0.016,-0.267,0.655,-0.267,-0.655,-45.656,-0.022,1.262,0.104,-0.548,0.447,-0.548,-0.447,57.303,-0.406,1.183,0.104,-0.564,0.427,-0.564,-0.427,-85.944,-0.406,1.183,0.011,0,0,-0.797,-0.604,-89.954,-0.497,1.157,0.011,0,0,-0.797,-0.604,0,-0.475,1.078,0.011,0,0,-0.991,0.137,FALSE,FALSE
4.076,0.275,0.958,0.12,0,0.707,0,-0.707,179.977,0.275,0.958,-0.016,-0.267,0.655,-0.267,-0.655,-45.656,-0.022,1.262,0.104,-0.548,0.447,-0.548,-0.447,57.303,-0.406,1.183,0.104,-0.564,0.427,-0.564,-0.427,-85.944,-0.406,1.183,0.011,0,0,-0.797,-0.604,-89.954,-0.497,1.157,0.011,0,0,-0.797,-0.604,0,-0.475,1.078,0.011,0,0,-0.991,0.137,FALSE,FALSE
4.178,0.275,0.958,0.12,0,0.707,0,-0.707,179.977,0.275,0.958,-0.016,-0.267,0.655,-0.267,-0.655,-45.656,-0.022,1.262,0.104,-0.548,0.447,-0.548,-0.447,57.303,-0.406,1.183,0.104,-0.564,0.427,-0.564,-0.427,-85.944,-0.406,1.183,0.011,0,0,-0.797,-0.604,-89.954,-0.497,1.157,0.011,0,0,-0.797,-0.604,0,-0.475,1.078,0.011,0,0,-0.991,0.137,FALSE,FALSE
4.279,0.275,0.958,0.12,0,0.707,0,-0.707,179.977,0.275,0.958,-0.016,-0.267,0.655,-0.267,-0.655,-45.656,-0.022,1.262,0.104,-0.548,0.447,-0.548,-0.447,57.303,-0.406,1.183,0.104,-0.564,0.427,-0.564,-0.427,-85.944,-0.406,1.183,0.011,0,0,-0.797,-0.604,-89.954,-0.497,1.157,0.011,0,0,-0.797,-0.604,0,-0.475,1.078,0.011,0,0,-0.991,0.137,FALSE,FALSE
4.382,0.275,0.958,0.12,0,0.707,0,-0.707,179.977,0.275,0.958,-0.016,-0.267,0.655,-0.267,-0.655,-45.656,-0.022,1.262,0.104,-0.548,0.447,-0.548,-0.447,57.303,-0.406,1.183,0.104,-0.564,0.427,-0.564,-0.427,-85.944,-0.406,1.183,0.011,0,0,-0.797,-0.604,-89.954,-0.497,1.157,0.011,0,0,-0.797,-0.604,0,-0.475,1.078,0.011,0,0,-0.991,0.137,FALSE,FALSE
4.483,0.275,0.958,0.12,0,0.707,0,-0.707,179.977,0.275,0.958,-0.016,-0.267,0.655,-0.267,-0.655,-45.656,-0.022,1.262,0.104,-0.548,0.447,-0.548,-0.447,57.303,-0.406,1.183,0.104,-0.564,0.427,-0.564,-0.427,-85.944,-0.406,1.183,0.011,0,0,-0.797,-0.604,-89.954,-0.497,1.157,0.011,0,0,-0.797,-0.604,0,-0.475,1.078,0.011,0,0,-0.991,0.137,FALSE,FALSE
4.586,0.275,0.958,0.12,0,0.707,0,-0.707,179.977,0.275,0.958,-0.016,-0.267,0.655,-0.267,-0.655,-45.656,-0.022,1.262,0.104,-0.548,0.447,-0.548,-0.447,57.303,-0.406,1.183,0.104,-0.564,0.427,-0.564,-0.427,-85.944,-0.406,1.183,0.011,0,0,-0.797,-0.604,-89.954,-0.497,1.157,0.011,0,0,-0.797,-0.604,0,-0.475,1.078,0.011,0,0,-0.991,0.137,FALSE,FALSE
4.686,0.275,0.958,0.12,0,0.707,0,-0.707,179.977,0.275,0.958,-0.016,-0.267,0.655,-0.267,-0.655,-45.656,-0.022,1.262,0.104,-0.548,0.447,-0.548,-0.447,57.303,-0.406,1.183,0.104,-0.564,0.427,-0.564,-0.427,-85.944,-0.406,1.183,0.011,0,0,-0.797,-0.604,-89.954,-0.497,1.157,0.011,0,0,-0.797,-0.604,0,-0.475,1.078,0.011,0,0,-0.991,0.137,FALSE,FALSE
4.79,0.275,0.958,0.12,0,0.707,0,-0.707,179.977,0.275,0.958,-0.016,-0.267,0.655,-0.267,-0.655,-45.656,-0.022,1.262,0.104,-0.548,0.447,-0.548,-0.447,57.303,-0.406,1.183,0.104,-0.564,0.427,-0.564,-0.427,-85.944,-0.406,1.183,0.011,0,0,-0.797,-0.604,-89.954,-0.497,1.157,0.011,0,0,-0.797,-0.604,0,-0.475,1.078,0.011,0,0,-0.991,0.137,FALSE,FALSE
4.892,0.275,0.958,0.12,0,0.707,0,-0.707,179.977,0.275,0.958,-0.016,-0.267,0.655,-0.267,-0.655,-45.656,-0.022,1.262,0.104,-0.548,0.447,-0.548,-0.447,57.303,-0.406,1.183,0.104,-0.564,0.427,-0.564,-0.427,-85.944,-0.406,1.183,0.011,0,0,-0.797,-0.604,-89.954,-0.497,1.157,0.011,0,0,-0.797,-0.604,0,-0.475,1.078,0.011,0,0,-0.991,0.137,FALSE,FALSE
4.993,0.275,0.958,0.12,0,0.707,0,-0.707,179.977,0.275,0.958,-0.016,-0.267,0.655,-0.267,-0.655,-45.656,-0.022,1.262,0.104,-0.548,0.447,-0.548,-0.447,57.303,-0.406,1.183,0.104,-0.564,0.427,-0.564,-0.427,-85.944,-0.406,1.183,0.011,0,0,-0.797,-0.604,-89.954,-0.497,1.157,0.011,0,0,-0.797,-0.604,0,-0.475,1.078,0.011,0,0,-0.991,0.137,FALSE,FALSE
5.098,0.275,0.958,0.12,0,0.707,0,-0.707,179.977,0.275,0.958,-0.016,-0.267,0.655,-0.267,-0.655,-45.656,-0.022,1.262,0.104,-0.548,0.447,-0.548,-0.447,57.303,-0.406,1.183,0.104,-0.564,0.427,-0.564,-0.427,-85.944,-0.406,1.183,0.011,0,0,-0.797,-0.604,-89.954,-0.497,1.157,0.011,0,0,-0.797,-0.604,0,-0.475,1.078,0.011,0,0,-0.991,0.137,FALSE,FALSE
5.201,0.275,0.958,0.12,0,0.707,0,-0.707,179.977,0.275,0.958,-0.016,-0.267,0.655,-0.267,-0.655,-45.656,-0.022,1.262,0.104,-0.548,0.447,-0.548,-0.447,57.303,-0.406,1.183,0.104,-0.564,0.427,-0.564,-0.427,-85.944,-0.406,1.183,0.011,0,0,-0.797,-0.604,-89.954,-0.497,1.157,0.011,0,0,-0.797,-0.604,0,-0.475,1.078,0.011,0,0,-0.991,0.137,FALSE,FALSE
5.302,0.275,0.958,0.12,0,0.707,0,-0.707,179.977,0.275,0.958,-0.016,-0.267,0.655,-0.267,-0.655,-45.656,-0.022,1.262,0.104,-0.548,0.447,-0.548,-0.447,57.303,-0.406,1.183,0.104,-0.564,0.427,-0.564,-0.427,-85.944,-0.406,1.183,0.011,0,0,-0.797,-0.604,-89.954,-0.497,1.157,0.011,0,0,-0.797,-0.604,0,-0.475,1.078,0.011,0,0,-0.991,0.137,FALSE,FALSE
5.405,0.275,0.958,0.12,0,0.707,0,-0.707,179.977,0.275,0.958,-0.016,-0.267,0.655,-0.267,-0.655,-45.656,-0.022,1.262,0.104,-0.548,0.447,-0.548,-0.447,57.303,-0.406,1.183,0.104,-0.564,0.427,-0.564,-0.427,-85.944,-0.406,1.183,0.011,0,0,-0.797,-0.604,-89.954,-0.497,1.157,0.011,0,0,-0.797,-0.604,0,-0.475,1.078,0.011,0,0,-0.991,0.137,FALSE,FALSE
5.505,0.275,0.958,0.12,0,0.707,0,-0.707,179.977,0.275,0.958,-0.016,-0.267,0.655,-0.267,-0.655,-45.656,-0.022,1.262,0.104,-0.548,0.447,-0.548,-0.447,57.303,-0.406,1.183,0.104,-0.564,0.427,-0.564,-0.427,-85.944,-0.406,1.183,0.011,0,0,-0.797,-0.604,-89.954,-0.497,1.157,0.011,0,0,-0.797,-0.604,0,-0.475,1.078,0.011,0,0,-0.991,0.137,FALSE,FALSE
