Timestamp,base_PosX,base_PosY,base_PosZ,base_RotX,base_RotY,base_RotZ,base_RotW,base_jointAngle,shoulder_PosX,shoulder_PosY,shoulder_PosZ,shoulder_RotX,shoulder_RotY,shoulder_RotZ,shoulder_RotW,shoulder_jointAngle,elbow_PosX,elbow_PosY,elbow_PosZ,elbow_RotX,elbow_RotY,elbow_RotZ,elbow_RotW,elbow_jointAngle,wrist1_PosX,wrist1_PosY,wrist1_PosZ,wrist1_RotX,wrist1_RotY,wrist1_RotZ,wrist1_RotW,wrist1_jointAngle,wrist2_PosX,wrist2_PosY,wrist2_PosZ,wrist2_RotX,wrist2_RotY,wrist2_RotZ,wrist2_RotW,wrist2_jointAngle,wrist3_PosX,wrist3_PosY,wrist3_PosZ,wrist3_RotX,wrist3_RotY,wrist3_RotZ,wrist3_RotW,wrist3_jointAngle,ee_PosX,ee_PosY,ee_PosZ,ee_RotX,ee_RotY,ee_RotZ,ee_RotW,suctionOn,blockAttracted
0,0.275,0.958,0.12,0,-0.706,0,-0.708,0.219,0.274,0.958,0.256,-0.373,-0.6,0.371,-0.602,-26.512,0.655,1.148,0.138,-0.588,-0.394,0.585,-0.396,48.601,1.019,1,0.139,-0.629,-0.325,0.627,-0.326,-76.903,1.018,1,0.232,-0.873,-0.452,0.162,-0.086,-68.76,1.096,0.946,0.232,-0.873,-0.452,0.163,-0.084,0.204,1.051,0.883,0.262,-0.937,0.298,0.056,-0.175,FALSE,FALSE
0.176,0.275,0.958,0.12,0,-0.464,0,-0.886,34.74,0.198,0.958,0.232,-0.336,-0.429,0.176,-0.82,-45.43,0.511,1.261,0.303,-0.688,-0.292,0.36,-0.558,57.287,0.826,1.18,0.522,-0.707,-0.279,0.37,-0.534,-85.943,0.773,1.18,0.598,-0.762,-0.575,-0.238,-0.18,-89.934,0.848,1.154,0.65,-0.762,-0.575,-0.238,-0.18,0.007,0.83,1.075,0.638,-0.945,0.132,-0.296,0.041,FALSE,FALSE
0.278,0.275,0.958,0.12,0,-0.299,0,-0.954,55.211,0.163,0.958,0.198,-0.36,-0.277,0.113,-0.884,-45.622,0.431,1.262,0.373,-0.74,-0.189,0.232,-0.603,57.303,0.65,1.183,0.689,-0.761,-0.18,0.238,-0.576,-85.943,0.574,1.183,0.742,-0.707,-0.535,-0.369,-0.28,-89.935,0.626,1.157,0.817,-0.707,-0.535,-0.369,-0.28,0.008,0.613,1.078,0.798,-0.878,0.122,-0.459,0.063,FALSE,FALSE
0.384,0.275,0.958,0.12,0,-0.089,0,-0.996,79.766,0.141,0.958,0.144,-0.376,-0.083,0.034,-0.922,-45.655,0.312,1.262,0.415,-0.772,-0.056,0.069,-0.629,57.303,0.38,1.183,0.793,-0.794,-0.054,0.071,-0.601,-85.943,0.289,1.183,0.81,-0.612,-0.463,-0.511,-0.387,-89.936,0.305,1.157,0.899,-0.612,-0.463,-0.511,-0.387,0.008,0.301,1.078,0.878,-0.76,0.105,-0.635,0.087,FALSE,FALSE
0.488,0.275,0.958,0.12,0,0.089,0,-0.996,100.228,0.141,0.958,0.096,-0.376,0.083,-0.034,-0.922,-45.659,0.206,1.262,0.409,-0.772,0.056,-0.069,-0.629,57.303,0.138,1.183,0.788,-0.794,0.054,-0.071,-0.601,-85.943,0.047,1.183,0.771,-0.511,-0.387,-0.611,-0.464,-89.936,0.03,1.157,0.861,-0.512,-0.387,-0.611,-0.464,0.008,0.034,1.078,0.839,-0.635,0.088,-0.76,0.104,FALSE,FALSE
0.596,0.275,0.958,0.12,0,0.265,0,-0.964,120.689,0.158,0.958,0.051,-0.364,0.245,-0.1,-0.893,-45.659,0.11,1.262,0.367,-0.748,0.167,-0.205,-0.609,57.303,-0.087,1.183,0.698,-0.769,0.16,-0.211,-0.582,-85.943,-0.167,1.183,0.65,-0.395,-0.299,-0.692,-0.525,-89.936,-0.213,1.157,0.728,-0.395,-0.299,-0.692,-0.525,0.008,-0.202,1.078,0.709,-0.49,0.068,-0.861,0.118,FALSE,FALSE
0.698,0.275,0.958,0.12,0,0.432,0,-0.902,141.15,0.19,0.958,0.014,-0.34,0.4,-0.163,-0.835,-45.659,0.034,1.262,0.294,-0.699,0.273,-0.335,-0.57,57.303,-0.266,1.183,0.535,-0.719,0.261,-0.344,-0.545,-85.943,-0.324,1.183,0.462,-0.266,-0.201,-0.752,-0.57,-89.936,-0.395,1.157,0.519,-0.266,-0.201,-0.752,-0.57,0.008,-0.378,1.078,0.505,-0.33,0.046,-0.934,0.129,FALSE,FALSE
0.804,0.275,0.958,0.12,0,0.599,0,-0.801,163.609,0.237,0.958,-0.01,-0.302,0.555,-0.226,-0.741,-45.66,-0.015,1.262,0.188,-0.621,0.378,-0.464,-0.506,57.303,-0.383,1.183,0.297,-0.638,0.362,-0.478,-0.484,-85.943,-0.409,1.183,0.208,-0.114,-0.086,-0.789,-0.598,-89.953,-0.497,1.157,0.233,-0.114,-0.086,-0.789,-0.598,0.001,-0.475,1.078,0.227,-0.141,0.02,-0.981,0.135,FALSE,FALSE
0.905,0.275,0.958,0.12,0,0.672,0,-0.741,174.366,0.262,0.958,-0.015,-0.28,0.622,-0.253,-0.686,-45.659,-0.022,1.262,0.133,-0.574,0.424,-0.521,-0.468,57.303,-0.405,1.183,0.171,-0.591,0.406,-0.535,-0.447,-85.944,-0.414,1.183,0.078,-0.039,-0.029,-0.796,-0.603,-89.954,-0.504,1.157,0.087,-0.039,-0.029,-0.796,-0.603,0,-0.482,1.078,0.085,-0.049,0.007,-0.989,0.136,FALSE,FALSE
1.008,0.275,0.958,0.12,0,0.694,0,-0.72,177.93,0.27,0.958,-0.016,-0.272,0.643,-0.262,-0.667,-45.656,-0.022,1.262,0.115,-0.558,0.439,-0.538,-0.455,57.304,-0.406,1.183,0.128,-0.574,0.419,-0.553,-0.435,-85.944,-0.41,1.183,0.036,-0.015,-0.011,-0.797,-0.604,-89.954,-0.501,1.157,0.039,-0.015,-0.011,-0.797,-0.604,0,-0.479,1.078,0.038,-0.018,0.003,-0.99,0.137,FALSE,FALSE
