Timestamp,base_PosX,base_PosY,base_PosZ,base_RotX,base_RotY,base_RotZ,base_RotW,base_jointAngle,shoulder_PosX,shoulder_PosY,shoulder_PosZ,shoulder_RotX,shoulder_RotY,shoulder_RotZ,shoulder_RotW,shoulder_jointAngle,elbow_PosX,elbow_PosY,elbow_PosZ,elbow_RotX,elbow_RotY,elbow_RotZ,elbow_RotW,elbow_jointAngle,wrist1_PosX,wrist1_PosY,wrist1_PosZ,wrist1_RotX,wrist1_RotY,wrist1_RotZ,wrist1_RotW,wrist1_jointAngle,wrist2_PosX,wrist2_PosY,wrist2_PosZ,wrist2_RotX,wrist2_RotY,wrist2_RotZ,wrist2_RotW,wrist2_jointAngle,wrist3_PosX,wrist3_PosY,wrist3_PosZ,wrist3_RotX,wrist3_RotY,wrist3_RotZ,wrist3_RotW,wrist3_jointAngle,ee_PosX,ee_PosY,ee_PosZ,ee_RotX,ee_RotY,ee_RotZ,ee_RotW,suctionOn,blockAttracted
1.170,1.454,0.953,-0.014,0.000,-0.710,0.000,-0.705,179.579,1.455,0.953,0.122,-0.266,-0.657,0.268,-0.652,-45.655,1.751,1.257,0.000,-0.546,-0.448,0.550,-0.445,57.303,2.135,1.178,-0.003,-0.562,-0.429,0.566,-0.425,-85.944,2.136,1.178,0.090,-0.797,-0.604,0.003,0.002,-89.954,2.227,1.152,0.089,-0.797,-0.604,0.003,0.002,0.000,2.205,1.073,0.090,-0.991,0.137,0.004,-0.001,False,False
1.273,1.454,0.953,-0.014,0.000,-0.708,0.000,-0.706,179.832,1.454,0.953,0.122,-0.266,-0.656,0.267,-0.654,-45.656,1.751,1.257,0.001,-0.547,-0.447,0.549,-0.446,57.303,2.135,1.178,0.000,-0.563,-0.428,0.564,-0.426,-85.944,2.136,1.178,0.093,-0.797,-0.604,0.001,0.001,-89.954,2.227,1.152,0.093,-0.797,-0.604,0.001,0.001,0.000,2.204,1.073,0.093,-0.991,0.137,0.002,-0.001,False,False
1.375,1.454,0.953,-0.014,0.000,-0.708,0.000,-0.707,179.924,1.454,0.953,0.122,-0.267,-0.655,0.267,-0.654,-45.656,1.751,1.257,0.002,-0.548,-0.447,0.549,-0.446,57.303,2.135,1.178,0.001,-0.563,-0.427,0.564,-0.427,-85.944,2.135,1.178,0.094,-0.797,-0.604,0.001,0.000,-89.954,2.226,1.152,0.094,-0.797,-0.604,0.001,0.000,0.000,2.204,1.073,0.094,-0.991,0.137,0.001,0.000,False,False
1.481,1.454,0.953,-0.014,0.000,-0.707,0.000,-0.707,179.961,1.454,0.953,0.122,-0.267,-0.655,0.267,-0.655,-45.656,1.751,1.257,0.002,-0.548,-0.447,0.548,-0.447,57.303,2.135,1.178,0.002,-0.563,-0.427,0.564,-0.427,-85.944,2.135,1.178,0.095,-0.797,-0.604,0.001,0.000,-89.954,2.226,1.152,0.095,-0.797,-0.604,0.001,0.000,0.000,2.204,1.073,0.095,-0.991,0.137,0.000,0.000,False,False
1.582,1.454,0.953,-0.014,0.000,-0.707,0.000,-0.707,179.971,1.454,0.953,0.122,-0.267,-0.655,0.267,-0.655,-45.656,1.751,1.257,0.002,-0.548,-0.447,0.548,-0.447,57.303,2.135,1.178,0.002,-0.563,-0.427,0.564,-0.427,-85.944,2.135,1.178,0.095,-0.797,-0.604,0.001,0.000,-89.954,2.226,1.152,0.095,-0.797,-0.604,0.001,0.000,0.000,2.204,1.073,0.095,-0.991,0.137,0.000,0.000,False,False
1.689,1.454,0.953,-0.014,0.000,-0.707,0.000,-0.707,179.975,1.454,0.953,0.122,-0.267,-0.655,0.267,-0.655,-45.656,1.751,1.257,0.002,-0.548,-0.447,0.548,-0.447,57.303,2.135,1.178,0.002,-0.563,-0.427,0.564,-0.427,-85.944,2.135,1.178,0.095,-0.797,-0.604,0.000,0.000,-89.954,2.226,1.152,0.095,-0.797,-0.604,0.000,0.000,0.000,2.204,1.073,0.095,-0.991,0.137,0.000,0.000,False,False
1.790,1.454,0.953,-0.014,0.000,-0.707,0.000,-0.707,179.976,1.454,0.953,0.122,-0.267,-0.655,0.267,-0.655,-45.656,1.751,1.257,0.002,-0.548,-0.447,0.548,-0.447,57.303,2.135,1.178,0.002,-0.564,-0.427,0.564,-0.427,-85.944,2.135,1.178,0.095,-0.797,-0.604,0.000,0.000,-89.954,2.226,1.152,0.095,-0.797,-0.604,0.000,0.000,0.000,2.204,1.073,0.095,-0.991,0.137,0.000,0.000,False,False
1.893,1.454,0.953,-0.014,0.000,-0.707,0.000,-0.707,179.976,1.454,0.953,0.122,-0.267,-0.655,0.267,-0.655,-45.656,1.751,1.257,0.002,-0.548,-0.447,0.548,-0.447,57.303,2.135,1.178,0.002,-0.564,-0.427,0.564,-0.427,-85.944,2.135,1.178,0.095,-0.797,-0.604,0.000,0.000,-89.954,2.226,1.152,0.095,-0.797,-0.604,0.000,0.000,0.000,2.204,1.073,0.095,-0.991,0.137,0.000,0.000,False,False
2.000,1.454,0.953,-0.014,0.000,-0.707,0.000,-0.707,179.977,1.454,0.953,0.122,-0.267,-0.655,0.267,-0.655,-45.656,1.751,1.257,0.002,-0.548,-0.447,0.548,-0.447,57.303,2.135,1.178,0.002,-0.564,-0.427,0.564,-0.427,-85.944,2.135,1.178,0.095,-0.797,-0.604,0.000,0.000,-89.954,2.226,1.152,0.095,-0.797,-0.604,0.000,0.000,0.000,2.204,1.073,0.095,-0.991,0.137,0.000,0.000,False,False
2.102,1.454,0.953,-0.014,0.000,-0.707,0.000,-0.707,179.977,1.454,0.953,0.122,-0.267,-0.655,0.267,-0.655,-45.656,1.751,1.257,0.002,-0.548,-0.447,0.548,-0.447,57.303,2.135,1.178,0.002,-0.564,-0.427,0.564,-0.427,-85.944,2.135,1.178,0.095,-0.797,-0.604,0.000,0.000,-89.954,2.226,1.152,0.095,-0.797,-0.604,0.000,0.000,0.000,2.204,1.073,0.095,-0.991,0.137,0.000,0.000,False,False
2.208,1.454,0.953,-0.014,0.000,-0.707,0.000,-0.707,179.977,1.454,0.953,0.122,-0.267,-0.655,0.267,-0.655,-45.656,1.751,1.257,0.002,-0.548,-0.447,0.548,-0.447,57.303,2.135,1.178,0.002,-0.564,-0.427,0.564,-0.427,-85.944,2.135,1.178,0.095,-0.797,-0.604,0.000,0.000,-89.954,2.226,1.152,0.095,-0.797,-0.604,0.000,0.000,0.000,2.204,1.073,0.095,-0.991,0.137,0.000,0.000,False,False
